Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.2.1705.0,,,,,,,,,,,,,,,
Date,10/17/2020,12:08 pm,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX17237721,,,,,,,,,,,,,,,
Batch,201017_Repeats_plate3,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,Tegwen,,,,,,,,,,,,,,,
ComputerName,MAGPIX-PC,,,,,,,,,,,,,,,
Country Code,409,,,,,,,,,,,,,,,
ProtocolName,Tegwen_13plex,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,Off,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,10/17/2020 12:08:32 PM,,,,,,,,,,,,,,,
BatchStopTime,10/17/2020 12:17:44 PM,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Mylar Plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,13,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 10/17/2020 10:54:03,,,,,,,,,,,,,,,
Last VER Verification,Passed 10/17/2020 10:55:02,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 10/17/2020 10:56:18,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B75277,06/25/2021,10/17/2020 10:54:03 AM,21.3,21.3,21.3,21.3,220,226,305,305,0.00705,0.00704,0.00394,0.11698,Pass,MAGPX17237721
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,16,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,CRP,IL-8,sTNF-R1,IL-6,Ang-2,Ang-1,TRAIL,IL-10,sTREM1,IP-10,Azu,MxA,CH3L1,Total Events,
"1(1,A1)",DBS1,3887,180,60,40,73,322,60,91,109,71,1616.5,80,7589,918,
"2(1,B1)",DBS2,7414.5,155,64,46.5,79,395,75,95.5,127,99,1626,112.5,8626.5,1068,
"3(1,C1)",DBS3,6815.5,113,45,39,54.5,559.5,50.5,95.5,101,42.5,1623,36,8108.5,1327,
"4(1,D1)",DBS4,4204,90.5,49,40,51,319,47.5,89.5,95.5,49,1478,32,7700,1108,
"5(1,E1)",High_DBS,8708,387,62,2751.5,850,2028,466,707,244,345,1780,1391,11463,1451,
"6(1,F1)",Med_DBS,9656,310,63.5,1555.5,284.5,2085,305.5,412,322,174.5,1929,1264,12095,1598,
"7(1,G1)",Low_DBS,9191,217,56,321,267,2041,143,300.5,290,113,1915,614,11326.5,1722,
"8(1,H1)",Blank_DBS,8559,180,57,81,244,2101.5,111.5,280,266,122,1865,70,10384,1545,
"9(1,A2)",Std1,6670,7863,1274.5,5679,7955,6627,5134,7238,2666,9323.5,3612,2014,10607,1077,
"10(1,B2)",Std2,5027,5767,441,4821,5597,3202,2757,5058.5,1137.5,6971,4445.5,1873,11439.5,1474,
"11(1,C2)",Std3,2463,1956,131,2241,402,662,915,1826,292,1664,3530,1033.5,6385,1365,
"12(1,D2)",Std4,1968,523,69,776,156,195.5,248,626,155.5,391,3307,369,1502,1260,
"13(1,E2)",Std5,1279,164.5,61,257,87.5,108,78,227,129.5,116,2216.5,116,252,1144,
"14(1,F2)",Std6,1050,112,58,91,60,77,44,105,134.5,51,1575,54,64,1150,
"15(1,G2)",Std7,926,109.5,43,45,46.5,67,34,71.5,139.5,42,1158,36,39,1316,
"16(1,H2)",Std8,1000,67,60,34,42,71,34,64,158.5,40,1269.5,35,38,1613,
,,,,,,,,,,,,,,,,
DataType:,Net MFI,,,,,,,,,,,,,,,
Location,Sample,CRP,IL-8,sTNF-R1,IL-6,Ang-2,Ang-1,TRAIL,IL-10,sTREM1,IP-10,Azu,MxA,CH3L1,Total Events,
"1(1,A1)",DBS1,3887,180,60,40,73,322,60,91,109,71,1616.5,80,7589,918,
"2(1,B1)",DBS2,7414.5,155,64,46.5,79,395,75,95.5,127,99,1626,112.5,8626.5,1068,
"3(1,C1)",DBS3,6815.5,113,45,39,54.5,559.5,50.5,95.5,101,42.5,1623,36,8108.5,1327,
"4(1,D1)",DBS4,4204,90.5,49,40,51,319,47.5,89.5,95.5,49,1478,32,7700,1108,
"5(1,E1)",High_DBS,8708,387,62,2751.5,850,2028,466,707,244,345,1780,1391,11463,1451,
"6(1,F1)",Med_DBS,9656,310,63.5,1555.5,284.5,2085,305.5,412,322,174.5,1929,1264,12095,1598,
"7(1,G1)",Low_DBS,9191,217,56,321,267,2041,143,300.5,290,113,1915,614,11326.5,1722,
"8(1,H1)",Blank_DBS,8559,180,57,81,244,2101.5,111.5,280,266,122,1865,70,10384,1545,
"9(1,A2)",Std1,6670,7863,1274.5,5679,7955,6627,5134,7238,2666,9323.5,3612,2014,10607,1077,
"10(1,B2)",Std2,5027,5767,441,4821,5597,3202,2757,5058.5,1137.5,6971,4445.5,1873,11439.5,1474,
"11(1,C2)",Std3,2463,1956,131,2241,402,662,915,1826,292,1664,3530,1033.5,6385,1365,
"12(1,D2)",Std4,1968,523,69,776,156,195.5,248,626,155.5,391,3307,369,1502,1260,
"13(1,E2)",Std5,1279,164.5,61,257,87.5,108,78,227,129.5,116,2216.5,116,252,1144,
"14(1,F2)",Std6,1050,112,58,91,60,77,44,105,134.5,51,1575,54,64,1150,
"15(1,G2)",Std7,926,109.5,43,45,46.5,67,34,71.5,139.5,42,1158,36,39,1316,
"16(1,H2)",Std8,1000,67,60,34,42,71,34,64,158.5,40,1269.5,35,38,1613,
,,,,,,,,,,,,,,,,
DataType:,Count,,,,,,,,,,,,,,,
Location,Sample,CRP,IL-8,sTNF-R1,IL-6,Ang-2,Ang-1,TRAIL,IL-10,sTREM1,IP-10,Azu,MxA,CH3L1,Total Events,
"1(1,A1)",DBS1,68,55,103,47,65,58,69,59,89,65,76,81,83,918,
"2(1,B1)",DBS2,72,73,122,56,81,65,70,70,87,95,93,96,88,1068,
"3(1,C1)",DBS3,104,76,124,89,92,94,100,94,108,100,107,127,112,1327,
"4(1,D1)",DBS4,79,84,124,71,63,61,80,82,86,81,90,112,95,1108,
"5(1,E1)",High_DBS,116,94,127,80,109,89,124,105,99,105,125,169,109,1451,
"6(1,F1)",Med_DBS,155,122,152,100,94,97,100,102,117,118,141,171,129,1598,
"7(1,G1)",Low_DBS,143,134,173,115,114,118,149,100,129,137,140,160,110,1722,
"8(1,H1)",Blank_DBS,119,108,170,116,98,92,130,100,103,119,113,155,122,1545,
"9(1,A2)",Std1,87,95,96,84,71,54,83,57,87,90,102,97,74,1077,
"10(1,B2)",Std2,113,110,131,99,95,84,112,102,124,127,136,143,98,1474,
"11(1,C2)",Std3,125,93,157,89,89,73,84,90,98,113,124,118,112,1365,
"12(1,D2)",Std4,91,76,152,76,105,66,103,70,102,97,116,99,107,1260,
"13(1,E2)",Std5,85,76,133,78,66,57,89,100,92,73,116,112,67,1144,
"14(1,F2)",Std6,101,89,147,72,81,64,76,52,96,109,79,107,77,1150,
"15(1,G2)",Std7,95,110,159,72,104,83,95,74,104,105,97,124,94,1316,
"16(1,H2)",Std8,125,107,185,110,95,93,122,103,128,136,142,151,116,1613,
,,,,,,,,,,,,,,,,
DataType:,Avg Net MFI,,,,,,,,,,,,,,,
